t_ps,E_per_molecule_eV,E_total_eV,E_total_J,P_inst_per_mol_W,P_inst_total_W,E_passive_per_molecule_eV,Ergotropy_per_molecule_eV,Ergotropy_total_J
5.150000000000000133e-01,1.199953026905426628e-01,5.999765134527132988e+09,9.612683508027237996e-10,-5.658911396762864536e-09,-2.829455698381207185e+02,9.562861075306279546e-02,2.436669193747986739e-02,1.951987223505321641e-10
5.200000000000000178e-01,1.198209126941923441e-01,5.991045634709617615e+09,9.598713329159448822e-10,-5.519021817333491969e-09,-2.759510908666707110e+02,9.555364542109508197e-02,2.426726727309726217e-02,1.944022429799466390e-10
5.250000000000000222e-01,1.196508324429923081e-01,5.982541622149615288e+09,9.585088398940570172e-10,-5.382696458359913412e-09,-2.691348229180002818e+02,9.548063373956419686e-02,2.417019870342811128e-02,1.936246380088480679e-10
5.300000000000000266e-01,1.194849512062931274e-01,5.974247560314656258e+09,9.571799846867647269e-10,-5.249833845173075054e-09,-2.624916922586562578e+02,9.540953000038564225e-02,2.407542120590748513e-02,1.928653865490653404e-10
5.350000000000000311e-01,1.193231635871517121e-01,5.966158179357585907e+09,9.558839229714704714e-10,-5.120272212928428916e-09,-2.560136106464196928e+02,9.534029066698782029e-02,2.398287292016389183e-02,1.921239930443896678e-10
5.400000000000000355e-01,1.191653689514861059e-01,5.958268447574305534e+09,9.546198485803005174e-10,-4.993925397072784128e-09,-2.496962698536372045e+02,9.527287110009577398e-02,2.389249785139033189e-02,1.914000089269639633e-10
5.450000000000000400e-01,1.190114672803216228e-01,5.950573364016080856e+09,9.533869602729340909e-10,-4.870771662569401732e-09,-2.435385831284802407e+02,9.520722614564942898e-02,2.380424113467219382e-02,1.906929946803671682e-10
5.500000000000000444e-01,1.188613592961705462e-01,5.943067964808526993e+09,9.521844627490155783e-10,-4.750733575482917652e-09,-2.375366787741513690e+02,9.514331307145283689e-02,2.371804622471770929e-02,1.900024973268731145e-10
5.550000000000000488e-01,1.187149498131044034e-01,5.935747490655220032e+09,9.510115934851926007e-10,-4.633678874627279159e-09,-2.316839437313319650e+02,9.508109116770016578e-02,2.363385864540423764e-02,1.893280804646277996e-10
5.600000000000000533e-01,1.185721478087293362e-01,5.928607390436467171e+09,9.498676233117022597e-10,-4.519521829539704808e-09,-2.259760914769867668e+02,9.502051836698997833e-02,2.355162944173935791e-02,1.886693519209063021e-10
5.650000000000000577e-01,1.184328634479914488e-01,5.921643172399572372e+09,9.487518325704227466e-10,-4.408232288556083710e-09,-2.204116144278232241e+02,9.496155439343752225e-02,2.347130905455392658e-02,1.880259146829946590e-10
5.700000000000000622e-01,1.182970075904157814e-01,5.914850379520789146e+09,9.476635071674239432e-10,-4.299748044279326793e-09,-2.149874022139410954e+02,9.490415965710377599e-02,2.339284793331200540e-02,1.873973718073384187e-10
5.750000000000000666e-01,1.181644942836288237e-01,5.908224714181441307e+09,9.466019585482834075e-10,-4.193960178979337124e-09,-2.096980089489516104e+02,9.484829659361299070e-02,2.331619769001583298e-02,1.867833356633406833e-10
5.799999999999999600e-01,1.180352411852655381e-01,5.901762059263277054e+09,9.455665270779345691e-10,-4.090787675093122109e-09,-2.045393837546725990e+02,9.479392784372210612e-02,2.324131334154343198e-02,1.861834458964667230e-10
5.849999999999999645e-01,1.179091673996709444e-01,5.895458369983547211e+09,9.445565647107365884e-10,-3.990195722608668428e-09,-1.995097861304384423e+02,9.474101579229596282e-02,2.316815160737498158e-02,1.855973557915286781e-10
5.899999999999999689e-01,1.177861927571501738e-01,5.889309637857508659e+09,9.435714292166302234e-10,-3.892132204278639859e-09,-1.946066102139302529e+02,9.468952355601016613e-02,2.309666920114000765e-02,1.850247185864698338e-10
5.949999999999999734e-01,1.176662396149508738e-01,5.883311980747543335e+09,9.426104986085970815e-10,-3.796505829897254229e-09,-1.898252914948388934e+02,9.463941667697600701e-02,2.302682293797486679e-02,1.844651883323928081e-10
5.999999999999999778e-01,1.175492335012647410e-01,5.877461675063237190e+09,9.416731763016819089e-10,-3.703241048569151298e-09,-1.851620524284517160e+02,9.459066133856947056e-02,2.295857216269527046e-02,1.839184393453660329e-10
6.049999999999999822e-01,1.174351014888552619e-01,5.871755074442763329e+09,9.407588780843125058e-10,-3.612301441367586630e-09,-1.806150720684090629e+02,9.454322414297339217e-02,2.289187734588186973e-02,1.833841549598293100e-10
