t,S10,S11,T1
1.189999999999999947e+00,2.489702744645074222e-03,6.683460085917149055e-04,8.874766802434483348e-02
1.195000000000000062e+00,2.481438963047398211e-03,6.670159592937153960e-04,8.875282545632055820e-02
1.199999999999999956e+00,2.473376586636390727e-03,6.657180223413900616e-04,8.875774912567249708e-02
1.205000000000000071e+00,2.465510641803875854e-03,6.644514044655520186e-04,8.876244481085272808e-02
1.209999999999999964e+00,2.457836278304900961e-03,6.632153315754403750e-04,8.876691814750879705e-02
1.215000000000000080e+00,2.450348765696475171e-03,6.620090485380344556e-04,8.877117463213660131e-02
1.219999999999999973e+00,2.443043489961686451e-03,6.608318192308630136e-04,8.877521962546582046e-02
1.225000000000000089e+00,2.435915950922257038e-03,6.596829260384573729e-04,8.877905835575665427e-02
1.229999999999999982e+00,2.428961759827492038e-03,6.585616689132717770e-04,8.878269592213026973e-02
1.235000000000000098e+00,2.422176636482746559e-03,6.574673647824108872e-04,8.878613729779362418e-02
1.239999999999999991e+00,2.415556406219681717e-03,6.563993474876318778e-04,8.878938733309561793e-02
1.245000000000000107e+00,2.409096997297735607e-03,6.553569676513972203e-04,8.879245075852930380e-02
1.250000000000000000e+00,2.402794438587224461e-03,6.543395920566812260e-04,8.879533218779564474e-02
1.255000000000000115e+00,2.396644857215721007e-03,6.533466029269942082e-04,8.879803612064217366e-02
1.260000000000000009e+00,2.390644475960889987e-03,6.523773975746310861e-04,8.880056694562900310e-02
1.265000000000000124e+00,2.384789610720591726e-03,6.514313883154830174e-04,8.880292894293127792e-02
1.270000000000000018e+00,2.379076668334813641e-03,6.505080022087354188e-04,8.880512628703707279e-02
1.275000000000000133e+00,2.373502144493605873e-03,6.496066804899149061e-04,8.880716304931406124e-02
1.280000000000000027e+00,2.368062621489814678e-03,6.487268780237068775e-04,8.880904320053173429e-02
1.284999999999999920e+00,2.362754765917481244e-03,6.478680630451401920e-04,8.881077061343183032e-02
1.290000000000000036e+00,2.357575326659703836e-03,6.470297170589944585e-04,8.881234906510852845e-02
1.294999999999999929e+00,2.352521132947189494e-03,6.462113345455907168e-04,8.881378223932968885e-02
