t_ps,E_per_molecule_eV,E_total_eV,E_total_J,P_inst_per_mol_W,P_inst_total_W,E_passive_per_molecule_eV,Ergotropy_per_molecule_eV,Ergotropy_total_J
5.600000000000000533e-01,1.082400190154112624e-01,5.412000950770563126e+09,8.670981466510379672e-10,-5.181639942270116177e-09,-2.590819971135060769e+02,8.723277608252728854e-02,2.100724293288397382e-02,1.682865688591416605e-10
5.650000000000000577e-01,1.080803361494380305e-01,5.404016807471901894e+09,8.658189458674757536e-10,-5.053741398464389232e-09,-2.526870699232385959e+02,8.715452967842736431e-02,2.092580647101066615e-02,1.676341908772964314e-10
5.700000000000000622e-01,1.079245892874263063e-01,5.396229464371315002e+09,8.645712759518055427e-10,-4.929334813532209797e-09,-2.464667406766238855e+02,8.707829420831804390e-02,2.084629507910826240e-02,1.669972344060821797e-10
5.750000000000000666e-01,1.077726712697408690e-01,5.388633563487043381e+09,8.633542784607095875e-10,-4.808298217364292751e-09,-2.404149108682177030e+02,8.700401666970163095e-02,2.076865460003923802e-02,1.663752655989974107e-10
5.799999999999999600e-01,1.076244789178623790e-01,5.381223945893118858e+09,8.621671268431234740e-10,-4.690528319202758668e-09,-2.345264159601356369e+02,8.693164466413971780e-02,2.069283425372266116e-02,1.657678776627463566e-10
5.849999999999999645e-01,1.074799115190576693e-01,5.373995575952883720e+09,8.610090143011082387e-10,-4.575956172752104845e-09,-2.287978086375951534e+02,8.686112628256827117e-02,2.061878523648939809e-02,1.651746796368373869e-10
5.899999999999999689e-01,1.073388701980967225e-01,5.366943509904835701e+09,8.598791487567475085e-10,-4.464504109141367858e-09,-2.232252054570562905e+02,8.679241104822500719e-02,2.054645914987171529e-02,1.645952838067998160e-10
5.949999999999999734e-01,1.072012590899559387e-01,5.360062954497797012e+09,8.587767622465374961e-10,-4.356068214227124045e-09,-2.178034107113489881e+02,8.672545117431744444e-02,2.047580791563849423e-02,1.640293050235411796e-10
5.999999999999999778e-01,1.070669858052160361e-01,5.353349290260802269e+09,8.577011146496340540e-10,-4.250555044965594254e-09,-2.125277522483083885e+02,8.666019971631029606e-02,2.040678608890574008e-02,1.634763792334051116e-10
6.049999999999999822e-01,1.069359603111094542e-01,5.346798015555472374e+09,8.566514847240545451e-10,-4.147899402676388710e-09,-2.073949701338278828e+02,8.659661016128110400e-02,2.033935014982835021e-02,1.629361578039968917e-10
